,index,est,value,beta,se,bias,variance
744,48,IPS,5.098689549189893,-1.0,1.8196021970692984,6.3310531230298315,14.93887988103626
745,48,SNIPS,5.590691609776611,-1.0,3.3890172755378005,13.582144156112667,30.540261797394784
746,48,BIPW,-2.8098769911522554,-1.0,43.02887991622329,34.37283758504899,0.4855371273894501
747,49,IPS,-0.037035843241151896,-1.0,14.339847270322407,6.3310531230298315,1.6145277222959247
748,49,SNIPS,-0.7291058408705372,-1.0,20.060268212218876,13.582144156112667,0.629599421317088
749,49,BIPW,-1.5215034417391695,-1.0,27.786252393106217,34.37283758504899,0.3499534171121041
750,50,IPS,-0.0891920073857682,-1.0,14.737577364551926,6.3310531230298315,1.749791474872921
751,50,SNIPS,-1.7067893929624858,-1.0,29.773966598085284,13.582144156112667,3.1369955757419326
752,50,BIPW,-3.509787912084249,-1.0,52.701082878899335,34.37283758504899,1.9508152021543803
753,51,IPS,-0.036596052054295225,-1.0,14.336516662015361,6.3310531230298315,1.6134102825720829
754,51,SNIPS,-0.7546207347421036,-1.0,20.289474960375614,13.582144156112667,0.670741190526146
755,51,BIPW,-1.6464216622363892,-1.0,29.118811461342066,34.37283758504899,0.21776258347892186
756,52,IPS,-0.013145334378414706,-1.0,14.159480912784245,6.3310531230298315,1.5543859741449348
757,52,SNIPS,-0.26467379963168886,-1.0,16.115704717059387,13.582144156112667,0.10826796066533456
758,52,BIPW,-1.6596259645782214,-1.0,29.26149152873307,34.37283758504899,0.20561335148938917
759,53,IPS,3.4674995568351386,-1.0,0.07967278485749812,6.3310531230298315,4.990285647415182
760,53,SNIPS,3.3031621051959528,-1.0,0.1994525704813438,13.582144156112667,10.489792622711258
761,53,BIPW,-3.1787973105352263,-1.0,48.004951253922044,34.37283758504899,1.135770333046249
762,54,IPS,-0.023855498964566735,-1.0,14.240198360643188,6.3310531230298315,1.5812064807021893
763,54,SNIPS,-0.48173728819236206,-1.0,17.905596690465,13.582144156112667,0.2982300808660947
764,54,BIPW,-1.2359282177152833,-1.0,24.85711927662737,34.37283758504899,0.7693813007839407
765,55,IPS,-0.09487360104801644,-1.0,14.781232412625092,6.3310531230298315,1.7648549436429841
766,55,SNIPS,-1.9477996620727063,-1.0,32.46222298318314,13.582144156112667,4.048815366020241
767,55,BIPW,-3.507665852058796,-1.0,52.670276975447806,34.37283758504899,1.9448918754932547
768,56,IPS,-1.1880036057643966,-1.0,24.381541388557853,6.3310531230298315,5.8641874195980375
769,56,SNIPS,-2.220570858658914,-1.0,35.6448892078075,13.582144156112667,5.220941801541848
770,56,BIPW,-1.7588764898949811,-1.0,30.345111635208205,34.37283758504899,0.1254544940990485
771,57,IPS,-0.2883794649072719,-1.0,16.30659647692239,6.3310531230298315,2.3164361961018747
772,57,SNIPS,-0.4093069484404159,-1.0,17.297864803253685,13.582144156112667,0.2243671718754869
773,57,BIPW,-1.70480521192471,-1.0,29.752316958541666,34.37283758504899,0.1666818102662176
774,58,IPS,1.1667724430543835,-1.0,6.671841439020704,6.3310531230298315,0.004466568039586859
775,58,SNIPS,5.040624668839236,-1.0,1.6663232375029586,13.582144156112667,24.76313868009643
776,58,BIPW,-1.5148477382774308,-1.0,27.716128715738588,34.37283758504899,0.35787232595525376
777,59,IPS,6.256224563249914,-1.0,6.282348382496929,6.3310531230298315,25.226708977711617
778,59,SNIPS,0.955691516053298,-1.0,7.806836778995544,13.582144156112667,0.7944590872419911
779,59,BIPW,-1.638475868323597,-1.0,29.033120650741616,34.37283758504899,0.22524153472513267
780,60,IPS,-0.00045456802407526313,-1.0,14.064133581363405,6.3310531230298315,1.522902599600884
781,60,SNIPS,-0.008787436355184308,-1.0,14.126703160414175,13.582144156112667,0.005351596646454954
782,60,BIPW,-1.5391401893475534,-1.0,27.972499447933565,34.37283758504899,0.32939777953923643
783,61,IPS,-0.036674988384542466,-1.0,14.337114430860776,6.3310531230298315,1.6136108187957516
